#bit-address;#reg_name;#channel;#digit;#value
72;preamp;1;0;0
#bit-address;#reg_name;#channel;#digit;#value
71;preamp;0;7;1
70;preamp;0;6;0
69;preamp;0;5;0
68;preamp;0;4;0
67;preamp;0;3;0
66;preamp;0;2;0
65;preamp;0;1;0
64;preamp;0;0;0
#bit-address;#reg_name;#channel;#digit;#value
63;ctest;63;;0
62;ctest;62;;0
61;ctest;61;;0
60;ctest;60;;0
59;ctest;59;;0
58;ctest;58;;0
57;ctest;57;;0
56;ctest;56;;0
#bit-address;#reg_name;#channel;#digit;#value
55;ctest;55;;0
54;ctest;54;;0
53;ctest;53;;0
52;ctest;52;;0
51;ctest;51;;0
50;ctest;50;;0
49;ctest;49;;0
48;ctest;48;;0
#bit-address;#reg_name;#channel;#digit;#value
47;ctest;47;;0
46;ctest;46;;0
45;ctest;45;;0
44;ctest;44;;0
43;ctest;43;;0
42;ctest;42;;0
41;ctest;41;;0
40;ctest;40;;0
#bit-address;#reg_name;#channel;#digit;#value
39;ctest;39;;0
38;ctest;38;;0
37;ctest;37;;0
36;ctest;36;;0
35;ctest;35;;0
34;ctest;34;;0
33;ctest;33;;0
32;ctest;32;;0
#bit-address;#reg_name;#channel;#digit;#value
31;ctest;31;;0
30;ctest;30;;0
29;ctest;29;;0
28;ctest;28;;0
27;ctest;27;;0
26;ctest;26;;0
25;ctest;25;;0
24;ctest;24;;0
#bit-address;#reg_name;#channel;#digit;#value
23;ctest;23;;0
22;ctest;22;;0
21;ctest;21;;0
20;ctest;20;;0
19;ctest;19;;0
18;ctest;18;;0
17;ctest;17;;0
16;ctest;16;;0
#bit-address;#reg_name;#channel;#digit;#value
15;ctest;15;;0
14;ctest;14;;0
13;ctest;13;;0
12;ctest;12;;0
11;ctest;11;;0
10;ctest;10;;0
9;ctest;9;;0
8;ctest;8;;0
#bit-address;#reg_name;#channel;#digit;#value
7;ctest;7;;0
6;ctest;6;;0
5;ctest;5;;0
4;ctest;4;;0
3;ctest;3;;0
2;ctest;2;;0
1;ctest;1;;0
0;ctest;0;;0
